# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: Bodycraft Academy
# Property: Bodycraftacademy
# ----------------------------------------
# 
# All Users
# Start date: 20260209
# End date: 20260308
Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
/makeup-artist-course-bangalore/,47,41,1.146341463414634,49.68292682926829,210,0,0
/hrbr-layout/spa-therapy-course/,45,35,1.2857142857142858,39.2,198,0,0
/kormangala/,45,28,1.6071428571428572,46.357142857142854,160,0,0
/job-openings/,41,21,1.9523809523809523,27.952380952380953,164,0,0
/professional-makeup-courses-fees-in-bangalore/,41,39,1.0512820512820513,42.87179487179487,187,0,0
/nail-art-classes/,39,32,1.21875,47.125,171,0,0
/professional-courses/cosmetology/,32,30,1.0666666666666667,30.233333333333334,110,0,0
/landing-page-for-salon-category/,30,11,2.727272727272727,97.18181818181819,86,0,0
/blog/,28,17,1.6470588235294117,25.235294117647058,93,0,0
/how-to-become-a-bridal-makeup-artist/,28,26,1.0769230769230769,31.076923076923077,128,0,0
/hrbr-layout/nail-artist-course/,28,22,1.2727272727272727,37.04545454545455,118,0,0
/beauty-diploma-course/,27,26,1.0384615384615385,25.46153846153846,128,0,0
/about/,26,16,1.625,53.25,87,0,0
/hrbr-layout/makeup-course/,26,22,1.1818181818181819,49.04545454545455,110,0,0
/makeup-artist-careers-bengaluru/,25,17,1.4705882352941178,24.88235294117647,96,0,0
/makeup-course-for-beginners/,23,17,1.3529411764705883,40.8235294117647,94,0,0
/professional-courses/beauty/,21,20,1.05,12.25,64,0,0
/hrbr-layout/hair-dresser-course/,20,17,1.1764705882352942,32.05882352941177,76,0,0
/all-courses/,19,14,1.3571428571428572,25.571428571428573,67,0,0
/career-opportunities-after-makeup-artist-courses/,19,19,1,31.157894736842106,96,0,0
/eyelash-extension-course-bangalore/,19,16,1.1875,27.0625,83,0,0
/hrbr-layout/,19,10,1.9,78.5,64,0,0
/top-10-trending-haircut-techniques/,15,14,1.0714285714285714,69.21428571428571,59,0,0
/become-pro-makeup-artist-best-makeup-courses/,13,11,1.1818181818181819,20,63,0,0
/career-opportunities-certified-makeup-artist-course-2025/,13,12,1.0833333333333333,47.333333333333336,56,0,0
